word,splits,translation
日曜,"['日', '行き', 'day trip']",day trip
日,"['日曜', 'は', '行き', 'go on sunday']",go on sunday
は,"['日', 'は', '行き', 'day goes']",day goes
図書,"['図書', '館', '行き', 'going to the library']",going to the library
館,"['図書', '館', 'に', '行き', 'go to the library']",go to the library
に,"['館', 'に', '行き', 'go to the mansion']",go to the mansion
行き,"['日', '館', '行き', 'ます', '。', ""I'm going to Nikkan.""]",I'm going to Nikkan.
ます,"['行き', 'ます', 'to go']",to go
私,"['私', 'は', '行っ', 'i go']",i go
は,"['私', 'は', '行っ', 'i go']",i go
夏休み,"['夏休み', 'に', '行っ', 'go on summer vacation']",go on summer vacation
に,"['夏休み', 'に', '行っ', 'go on summer vacation']",go on summer vacation
プール,"['に', 'プール', '行っ', 'go to the pool']",go to the pool
に,"['に', 'プール', '行っ', 'go to the pool']",go to the pool
行っ,"['私', '夏休み', 'プール', '行っ', 'た', '。', 'I went to the pool during my summer vacation.']",I went to the pool during my summer vacation.
た,"['行っ', 'た', 'gone']",gone
私,"['私', 'は', '好き', 'I like']",I like
は,"['私', 'は', '好き', 'I like']",I like
絵,"['絵', 'を', '見る', '好き', 'i like to see pictures']",i like to see pictures
を,"['絵', 'を', '見る', '好き', 'i like to see pictures']",i like to see pictures
見る,"['絵', '見る', 'の', 'が', '好き', 'i like to see pictures']",i like to see pictures
の,"['見る', 'の', '好き', 'love to see']",love to see
が,"['見る', 'が', '好き', 'like to see']",like to see
好き,"['私', '見る', '好き', 'です', '。', 'i like to see']",i like to see
です,"['好き', 'です', 'I like it']",I like it
仕事,"['仕事', 'の', 'あと', '見', 'after work']",after work
の,"['仕事', 'の', 'あと', '見', 'after work']",after work
あと,"['仕事', 'あと', '、', '見', 'See you after work']",See you after work
映画,"['映画', 'を', '見', 'watch a movie']",watch a movie
を,"['映画', 'を', '見', 'watch a movie']",watch a movie
見,"['あと', '映画', '見', 'た', '。', 'I saw the movie later.']",I saw the movie later.
た,"['見', 'た', 'saw']",saw
京都,"['京都', 'に', 'は', '多い', 'many in Kyoto']",many in Kyoto
に,"['京都', 'に', '多い', 'many in Kyoto']",many in Kyoto
は,"['京都', 'は', '多い', 'Kyoto has many']",Kyoto has many
お,"['お', '寺', '多い', 'many temples']",many temples
寺,"['お', '寺', 'が', '多い', 'many temples']",many temples
が,"['寺', 'が', '多い', 'many temples']",many temples
多い,"['京都', '寺', '多い', '。', 'There are many Kyoto temples.']",There are many Kyoto temples.
この,"['この', '道', '多い', 'this road is many']",this road is many
道,"['この', '道', 'は', '多い', 'this road is many']",this road is many
は,"['道', 'は', '多い', 'many roads']",many roads
車,"['車', 'が', '多い', 'many cars']",many cars
が,"['車', 'が', '多い', 'many cars']",many cars
多い,"['道', '車', '多い', '。', 'There are many road cars.']",There are many road cars.
家,"['家', 'に', 'き', 'come home']",come home
に,"['家', 'に', 'き', 'come home']",come home
遊び,"['に', '遊び', 'き', 'to play']",to play
に,"['に', '遊び', 'き', 'to play']",to play
き,"['家', '遊び', 'き', 'て', '。', 'Come hang out at home.']",Come hang out at home.
て,"['き', 'て', 'ください', 'Please come']",Please come
ください,"['き', 'て', 'ください', 'Please come']",Please come
夏休み,"['夏休み', 'に', '行き', 'go on summer vacation']",go on summer vacation
に,"['夏休み', 'に', '行き', 'go on summer vacation']",go on summer vacation
お,"['お', 'ちゃん', '家', '行き', ""go to grandma's house""]",go to grandma's house
祖母,"['祖母', 'ちゃん', '家', '行き', ""going to grandma's house""]",going to grandma's house
ちゃん,"['お', '祖母', 'ちゃん', 'の', '家', '行き', ""going to grandma's house""]",going to grandma's house
の,"['ちゃん', 'の', '家', '行き', ""going to chan's house""]",going to chan's house
家,"['ちゃん', '家', 'へ', '行き', ""go to chan's house""]",go to chan's house
へ,"['家', 'へ', '行き', 'go home']",go home
行き,"['夏休み', '家', '行き', 'まし', 'た', '。', 'I went home for summer vacation.']",I went home for summer vacation.
まし,"['行き', 'まし', 'I went']",I went
た,"['行き', 'た', 'To go']",To go
これ,"['これ', 'を', 'ください', 'take this']",take this
を,"['これ', 'を', 'ください', 'take this']",take this
ください,"['これ', 'ください', '。', 'Please give me this']",Please give me this
これ,"['これ', 'は', '鞄', 'this is a bag']",this is a bag
は,"['これ', 'は', '鞄', 'this is a bag']",this is a bag
あなた,"['あなた', 'の', '鞄', 'your bag']",your bag
の,"['あなた', 'の', '鞄', 'your bag']",your bag
鞄,"['これ', 'あなた', '鞄', 'です', 'か', '。', 'Is this your bag?']",Is this your bag?
です,"['鞄', 'です', ""It's a bag""]",It's a bag
か,"['鞄', 'か', 'Is it a bag']",Is it a bag
それ,"['それ', 'は', '話', ""it's a story""]",it's a story
は,"['それ', 'は', '話', ""it's a story""]",it's a story
とても,"['とても', 'いい', '話', 'very nice story']",very nice story
いい,"['とても', 'いい', '話', 'very nice story']",very nice story
話,"['それ', 'いい', '話', 'だ', '。', ""That's a good story.""]",That's a good story.
だ,"['話', 'だ', ""it's a story""]",it's a story
それ,"['それ', 'を', 'つ', 'it']",it
を,"['それ', 'を', 'つ', 'it']",it
一,"['一', 'つ', 'One']",One
つ,"['それ', '一', 'つ', 'ください', '。', 'Please give me one.']",Please give me one.
ください,"['つ', 'ください', 'please']",please
私,"['私', 'が', '行き', 'i go']",i go
が,"['私', 'が', '行き', 'i go']",i go
行き,"['私', '行き', 'ましょう', '。', ""I'll go""]",I'll go
ましょう,"['行き', 'ましょう', ""let's go""]",let's go
私,"['私', 'は', '飲み', 'i drink']",i drink
は,"['私', 'は', '飲み', 'i drink']",i drink
毎朝,"['毎朝', '飲み', 'drink every morning']",drink every morning
コーヒー,"['コーヒー', 'を', '飲み', 'drink coffee']",drink coffee
を,"['コーヒー', 'を', '飲み', 'drink coffee']",drink coffee
飲み,"['私', '毎朝', 'コーヒー', '飲み', 'ます', '。', 'I drink coffee every morning.']",I drink coffee every morning.
ます,"['飲み', 'ます', 'drink']",drink
3,"['3', '月', '忙しい', 'busy in march']",busy in march
